,tweet_id,favorite_count,retweet_count
1991-02-28 08:03:16.545200128,667728196545200128,388,159
1991-02-28 18:44:35.769573376,667766675769573376,466,233
1991-02-28 20:33:15.014021121,667773195014021120,241,59
1991-02-28 23:07:44.991965184,667782464991965184,429,256
1991-03-01 02:10:09.583771648,667793409583771648,722,351
1991-03-01 04:16:53.445750784,667801013445750784,341,100
1991-03-01 05:47:34.573760512,667806454573760512,1092,526
1991-03-01 13:01:14.953625600,667832474953625600,297,68
1991-03-01 21:02:20.749471744,667861340749471744,251,83
1991-03-01 22:32:04.293877760,667866724293877760,3125,1093
1991-03-02 00:30:44.930215936,667873844930215936,657,433
1991-03-02 01:52:21.721415682,667878741721415680,406,126
1991-03-02 03:37:24.254572545,667885044254572544,854,519
1991-03-02 04:08:41.285246976,667886921285246976,1975,1159
1991-03-02 08:27:29.697558528,667902449697558528,883,392
1991-03-02 10:57:05.562669056,667911425562669056,515,323
1991-03-02 12:04:13.470232577,667915453470232576,218,58
1991-03-02 14:41:36.115245057,667924896115245056,313,119
1991-03-02 18:04:55.915278337,667937095915278336,1335,846
1991-03-04 18:57:00.489474048,668113020489474048,696,262
1991-03-05 03:05:49.051129856,668142349051129856,583,303
1991-03-05 06:30:35.664932864,668154635664932864,516,334
1991-03-05 11:17:39.951755264,668171859951755264,515,205
1991-03-05 16:31:21.446379520,668190681446379520,682,207
1991-03-05 20:29:24.695683073,668204964695683072,579,205
1991-03-06 01:00:41.640230912,668221241640230912,531,214
1991-03-06 02:21:33.875376128,668226093875376128,321,113
1991-03-06 05:34:04.992782336,668237644992782336,6501,3043
1991-03-06 08:34:32.370458624,668248472370458624,1041,520
1991-03-06 10:45:21.989451776,668256321989451776,1363,658
1991-03-06 14:15:07.921326080,668268907921326080,581,256
1991-03-06 15:44:07.790391296,668274247790391296,868,246
1991-03-06 19:04:39.830867968,668286279830867968,526,148
1991-03-06 20:39:59.406125056,668291999406125056,261,34
1991-03-06 22:08:48.638447616,668297328638447616,648,315
1991-03-08 21:14:59.341221888,668466899341221888,926,548
1991-03-09 00:54:04.826800133,668480044826800128,483,159
1991-03-09 02:03:18.282485761,668484198282485760,445,250
1991-03-09 05:36:39.348633600,668496999348633600,430,143
1991-03-09 08:31:49.523615744,668507509523615744,341,114
1991-03-09 14:26:11.708952576,668528771708952576,490,238
1991-03-09 16:57:17.512433665,668537837512433664,259,78
1991-03-09 18:12:16.805281792,668542336805281792,484,227
1991-03-09 18:52:25.690562560,668544745690562560,543,246
1991-03-10 01:17:02.092664832,668567822092664832,258,61
1991-03-10 06:43:03.441514497,668587383441514496,1736,1157
1991-03-10 14:20:19.948453888,668614819948453888,639,337
1991-03-10 15:50:35.289837568,668620235289837568,210,45
1991-03-10 16:40:01.287675904,668623201287675904,1518,838
1991-03-10 17:19:37.880875008,668625577880875008,413,140
1991-03-10 17:47:58.264475648,668627278264475648,335,122
1991-03-10 18:56:17.374486528,668631377374486528,750,343
1991-03-10 19:30:11.083464705,668633411083464704,2974,1756
1991-03-10 20:24:25.813057536,668636665813057536,1092,517
1991-03-10 21:38:29.086707712,668641109086707712,1129,569
1991-03-10 22:19:02.311546881,668643542311546880,928,569
1991-03-10 22:51:46.898350081,668645506898350080,943,580
1991-03-11 01:32:19.528511488,668655139528511488,554,231
1991-03-12 12:03:19.630725120,668779399630725120,738,400
1991-03-12 21:59:40.734689280,668815180734689280,598,289
1991-03-13 01:01:26.256599040,668826086256599040,459,150
1991-03-13 08:16:10.888998912,668852170888998912,471,175
1991-03-13 13:57:32.652679168,668872652652679168,551,317
1991-03-13 19:27:54.547511297,668892474547511296,414,163
1991-03-13 22:23:14.700836864,668902994700836864,333,106
1991-03-14 06:42:01.458302977,668932921458302976,281,62
1991-03-14 13:01:53.004314625,668955713004314624,296,74
1991-03-14 14:14:44.974809088,668960084974809088,741,257
1991-03-14 16:24:37.119254528,668967877119254528,157,25
1991-03-14 18:34:37.807423489,668975677807423488,1372,626
1991-03-14 19:43:26.671884288,668979806671884288,832,376
1991-03-14 20:18:13.510119424,668981893510119424,568,331
1991-03-14 21:26:58.524233728,668986018524233728,576,181
1991-03-14 22:03:03.816871936,668988183816871936,949,511
1991-03-14 22:26:55.043424256,668989615043424256,713,350
1991-03-14 23:12:43.537309700,668992363537309696,788,377
1991-03-14 23:55:13.074286592,668994913074286592,462,251
1991-03-15 01:26:37.445533696,669000397445533696,21843,6822
1991-03-15 03:13:02.128353280,669006782128353280,600,266
1991-03-15 05:42:23.032369152,669015743032369152,776,395
1991-03-15 11:37:38.363662336,669037058363662336,682,329
1991-03-17 09:55:28.096960512,669203728096960512,1059,513
1991-03-17 12:49:25.781868544,669214165781868544,462,180
1991-03-17 13:31:19.721873412,669216679721873408,947,412
1991-03-18 19:30:57.376567296,669324657376567296,516,221
1991-03-18 20:13:27.240699904,669327207240699904,602,125
1991-03-18 20:35:03.091937280,669328503091937280,1060,445
1991-03-19 02:57:14.509529089,669351434509529088,467,203
1991-03-19 03:30:38.988365824,669353438988365824,676,277
1991-03-19 03:46:22.627049472,669354382627049472,2851,1364
1991-03-19 05:14:34.819481600,669359674819481600,384,133
1991-03-19 06:24:48.236994561,669363888236994560,657,248
1991-03-19 07:31:36.104181761,669367896104181760,480,169
1991-03-19 08:31:23.794317312,669371483794317312,516,192
1991-03-19 09:41:58.304980992,669375718304980992,1403,776
1991-03-19 14:34:16.313184256,669393256313184256,379,82
1991-03-21 14:07:41.267722241,669564461267722240,405,131
1991-03-21 14:59:51.774625800,669567591774625792,244,61
1991-03-21 16:04:31.778410496,669571471778410496,1664,1070
1991-03-21 16:39:30.759163904,669573570759163904,458,154
1991-03-21 19:29:04.538451968,669583744538451968,1562,997
1991-03-21 23:25:12.108789760,669597912108789760,539,162
1991-03-22 00:51:24.620980224,669603084620980224,995,394
1991-03-22 07:11:47.762618368,669625907762618368,3707,1930
1991-03-22 17:09:52.646373376,669661792646373376,843,469
1991-03-22 22:15:53.564442624,669680153564442624,700,309
1991-03-22 22:48:15.984410625,669682095984410624,369,142
1991-03-22 23:18:19.023405056,669683899023405056,410,117
1991-03-22 23:34:25.554620416,669684865554620416,547,95
1991-03-23 17:30:30.875258880,669749430875258880,285,71
1991-03-23 18:32:58.989142016,669753178989142016,845,428
1991-03-25 17:48:43.644657664,669923323644657664,246,62
1991-03-25 18:39:44.437997569,669926384437997568,393,112
1991-03-25 23:12:43.794931712,669942763794931712,527,180
1991-03-26 06:47:22.633789440,669970042633789440,316,65
1991-03-26 07:20:11.175813120,669972011175813120,462,173
1991-03-26 13:11:16.832759809,669993076832759808,337,90
1991-03-26 15:58:50.994700288,670003130994700288,346,99
1991-03-27 01:26:29.829525505,670037189829525504,617,300
1991-03-27 02:18:15.598354432,670040295598354432,790,117
1991-03-27 04:09:12.931721218,670046952931721216,677,191
1991-03-27 06:23:58.660800512,670055038660800512,702,355
1991-03-27 08:11:46.722140161,670061506722140160,801,371
1991-03-27 10:18:07.419133954,670069087419133952,666,268
1991-03-27 11:31:43.555706880,670073503555706880,1641,854
1991-03-27 13:14:41.849372674,670079681849372672,2341,1350
1991-03-27 15:08:19.208155136,670086499208155136,726,269
1991-03-27 17:12:18.074779648,670093938074779648,1090,360
1991-03-29 23:47:00.111441920,670290420111441920,738,310
1991-03-30 03:22:40.680108032,670303360680108032,443,147
1991-03-30 07:45:30.621435904,670319130621435904,4045,1328
1991-03-30 13:15:31.251150849,670338931251150848,446,118
1991-03-30 19:37:54.861563904,670361874861563904,340,71
1991-03-30 23:06:11.102445568,670374371102445568,776,289
1991-03-31 02:15:11.116361728,670385711116361728,583,231
1991-03-31 07:17:59.788544000,670403879788544000,452,171
1991-03-31 08:43:18.013820928,670408998013820928,585,240
1991-03-31 09:22:50.698022913,670411370698022912,2144,974
1991-03-31 11:03:34.769758208,670417414769758208,592,344
1991-03-31 11:56:09.653809152,670420569653809152,657,335
1991-03-31 12:18:45.039075328,670421925039075328,1379,692
1991-03-31 13:43:22.554466305,670427002554466304,541,175
1991-03-31 14:04:40.563085312,670428280563085312,1459,681
1991-03-31 15:27:28.821026816,670433248821026816,337,121
1991-03-31 15:42:07.938719744,670434127938719744,1476,695
