Year,Origin,DepDelay,ArrDelay,TotalDelay
1987,ISP,4.07135778,6.879583746,10.95094153
1987,ITH,2.68261563,2.743221691,5.425837321
1987,JAC,10.86976744,14.65581395,25.5255814
1987,JAN,5.334377447,7.194596711,12.52897416
1987,JAX,4.340657628,5.802555711,10.14321334
1987,JFK,8.896383349,10.32880907,19.22519242
1987,JNU,9.99,13.19571429,23.18571429
1987,KOA,10.6433121,12.52866242,23.17197452
1987,KTN,7.576305221,10.58634538,18.1626506
1987,LAN,4.328125,7.025568182,11.35369318
1987,LAS,7.44841917,10.00420853,17.4526277
1987,LAX,12.92025583,15.6138915,28.53414732
1987,LBB,5.933519293,6.711297071,12.64481636
1987,LEX,4.669061708,7.665680473,12.33474218
1987,LFT,6.635738832,6.432989691,13.06872852
1987,LGA,6.473937536,7.349365374,13.82330291
1987,LGB,8.866920152,13.90446768,22.77138783
1987,LIH,0.25,3.19375,3.44375
1987,LIT,3.96779476,5.179039301,9.146834061
1987,LMT,11.03448276,11.56896552,22.60344828
1987,LNK,6.209437621,7.177117001,13.38655462
1987,LSE,3.881355932,4.629539952,8.510895884
1987,LYH,8.888382688,11.26651481,20.15489749
1987,MAF,4.850955414,2.746072187,7.597027601
1987,MBS,3.068298969,3.399484536,6.467783505
1987,MCI,8.058237851,9.312445674,17.37068352
1987,MCO,6.130099807,8.461273566,14.59137337
1987,MDT,4.139869281,6.18627451,10.32614379
1987,MDW,6.791666667,9.677702703,16.46936937
1987,MEM,7.469076817,11.40993789,18.87901471
1987,MFE,8.28960396,11.7970297,20.08663366
1987,MFR,16.58852868,17.71695761,34.30548628
1987,MGM,4.380897583,7.66283084,12.04372842
1987,MHT,9.593927894,11.75901328,21.35294118
1987,MIA,8.22433636,8.492626222,16.71696258
1987,MKE,5.91212406,8.58012218,14.49224624
1987,MLB,3.937441643,5.81232493,9.749766573
1987,MLI,4.692263936,8.749715586,13.44197952
1987,MLU,12.2845787,13.89984102,26.18441971
1987,MOB,3.348747592,5.674855491,9.023603083
1987,MOT,4.802784223,4.805104408,9.607888631
1987,MRY,9.27936146,13.95781072,23.23717218
1987,MSN,3.83302583,6.510147601,10.34317343
1987,MSO,7.188953488,4.898255814,12.0872093
1987,MSP,9.587648875,11.01160124,20.59925011
1987,MSY,7.482596519,8.398179636,15.88077616
1987,MYR,3.79526749,3.66255144,7.45781893
1987,OAJ,1.950782998,3.977628635,5.928411633
1987,OAK,7.033914729,8.838299419,15.87221415
1987,OGG,5.997714286,8.971428571,14.96914286
1987,OKC,7.226731079,9.567310789,16.79404187
1987,OMA,5.949016918,6.690900777,12.6399177
1987,OME,7.56281407,10.63316583,18.1959799
1987,ONT,7.661561637,9.446020587,17.10758222
1987,ORD,7.791967896,8.221817179,16.01378508
1987,ORF,4.771999433,7.27532946,12.04732889
1987,ORH,5.739279588,9.97941681,15.7186964
1987,OTZ,6.453608247,10.98969072,17.44329897
1987,PBI,5.787417555,6.932014206,12.71943176
1987,PDX,9.336364555,12.4724664,21.80883096
1987,PFN,1.477707006,6.885350318,8.363057325
1987,PHF,2.367041199,3.104868914,5.471910112
1987,PHL,8.904175087,10.35737172,19.2615468
1987,PHX,9.171862808,12.16216033,21.33402314
1987,PIA,2.830119376,5.110192837,7.940312213
1987,PIE,0.949438202,-9.820224719,-8.870786517
1987,PIR,85,73,158
1987,PIT,8.327570487,10.97078833,19.29835882
1987,PNS,4.778077754,6.705723542,11.4838013
1987,PSC,7.574279379,10.35698448,17.93126386
1987,PSG,8.987421384,13.11949686,22.10691824
1987,PSP,8.370943953,9.984513274,18.35545723
1987,PUB,5.827089337,7.916426513,13.74351585
1987,PVD,5.282094031,7.916305435,13.19839947
1987,PWM,7.186714542,10.0801915,17.26690604
1987,RAP,4.232426304,5.081632653,9.314058957
1987,RDD,15.43026706,19.32937685,34.75964392
1987,RDM,9.905660377,13.2327044,23.13836478
1987,RDU,4.962533746,6.502798446,11.46533219
1987,RIC,4.997032641,7.926239932,12.92327257
1987,RNO,9.488445934,10.948139,20.43658494
1987,ROA,5.659315589,7.497338403,13.15665399
1987,ROC,4.61069214,5.431707726,10.04239987
1987,ROR,12.94382022,12,24.94382022
1987,RST,3.404536862,7.300567108,10.70510397
1987,RSW,4.734709677,5.295483871,10.03019355
1987,SAN,9.519779462,11.67491385,21.19469331
1987,SAT,5.864006917,4.271121542,10.13512846
1987,SAV,2.062864995,3.02335967,5.086224665
1987,SBA,11.76923077,14.52343059,26.29266136
1987,SBN,3.726574501,5.129032258,8.855606759
1987,SCC,2.643939394,9.015151515,11.65909091
1987,SCK,12.65734266,10.91142191,23.56876457
1987,SDF,3.921892724,7.408037595,11.32993032
1987,SEA,9.507867133,12.01276224,21.52062937
1987,SFO,14.81510455,16.7510978,31.56620234
1987,SGF,5.543817527,9.515006002,15.05882353
1987,SHV,6.108026249,7.60676426,13.71479051
1987,SIT,11.975,15.28571429,27.26071429
1987,SJC,7.679210364,8.10619547,15.78540583
1987,SJU,7.509396914,8.10799439,15.6173913
1987,SLC,8.702631255,12.46704783,21.16967909
1987,SMF,7.421803737,8.673826688,16.09563043
1987,SNA,10.1482826,13.22465792,23.37294052
1987,SPN,3.58974359,3.065934066,6.655677656
1987,SRQ,4.339069222,6.11967149,10.45874071
1987,STL,8.027778664,9.085440919,17.11321958
1987,STT,9.8117506,9.758992806,19.57074341
1987,STX,11.61714286,13.05142857,24.66857143
1987,SUX,3.747863248,4.02991453,7.777777778
1987,SYR,6.490310078,7.932655039,14.42296512
1987,TLH,2.953253012,4.114216867,7.06746988
1987,TOL,4.286180631,7.572361262,11.85854189
1987,TPA,5.243910511,6.152104845,11.39601536
1987,TRI,1.593155894,3.766793409,5.359949303
1987,TUL,5.556248052,6.789342474,12.34559053
1987,TUS,7.566755265,9.05336332,16.62011859
1987,TVL,10.41826923,11.17307692,21.59134615
1987,TYS,3.22044594,5.703407657,8.923853597
1987,UCA,8.473469388,9.67755102,18.15102041
1987,VPS,2.708206687,8.382978723,11.09118541
1987,WRG,8.088607595,9.708860759,17.79746835
1987,YAK,4.917241379,8.427586207,13.34482759
1987,YAP,6.48,7.72,14.2
1987,YKM,3.934640523,6.705882353,10.64052288
1987,YUM,3.871485944,2.238955823,6.110441767
1988,ABE,5.268332651,6.858869316,12.12720197
1988,ABQ,4.780093999,3.338811267,8.118905266
1988,ACV,26.36842105,33.78947368,60.15789474
1988,ACY,4.3632287,9.585201794,13.94843049
1988,AGS,3.693619709,4.506001263,8.199620973
1988,ALB,5.842508143,7.664006515,13.50651466
1988,ALO,5.833333333,6.157407407,11.99074074
1988,AMA,3.962722207,2.126426108,6.089148315
1988,ANC,5.978732864,6.848684698,12.82741756
1988,APF,2.663329161,2.267834793,4.931163955
1988,ATL,6.393390192,6.903008505,13.2963987
1988,ATW,2.030381944,2.818576389,4.848958333
1988,AUS,3.96532796,2.830947749,6.796275709
1988,AVL,5.197912136,6.213136146,11.41104828
1988,AVP,2.88372093,5.882379249,8.766100179
1988,AZO,2.65364851,5.69938335,8.35303186
1988,BDL,5.590690104,6.143066406,11.73375651
1988,BET,4.344405594,7.166083916,11.51048951
1988,BFI,28,20,48
1988,BFL,3.840442338,2.984992101,6.825434439
1988,BGM,3.880941176,5.720941176,9.601882353
1988,BGR,3.676009501,4.573871734,8.249881235
1988,BHM,3.533249891,4.232259469,7.76550936
1988,BIL,4.391607259,4.7786779,9.170285159
1988,BIS,1.838202799,-0.086668303,1.751534495
1988,BLI,2.385964912,1.665692008,4.05165692
1988,BNA,5.13385841,4.403331523,9.537189933
1988,BOI,4.143880506,4.716354214,8.86023472
1988,BOS,8.181955486,8.620832525,16.80278801
1988,BTM,1.893314367,4.53200569,6.425320057
1988,BTR,4.369046246,5.019490255,9.388536501
1988,BTV,5.549520295,7.165313653,12.71483395
1988,BUF,5.240893282,6.103386418,11.3442797
1988,BUR,5.734729418,6.038660804,11.77339022
1988,BWI,7.722677391,8.144499596,15.86717699
1988,BZN,4.725746799,5.621052632,10.34679943
1988,CAE,4.077883699,4.754242135,8.832125834
1988,CAK,4.36,4.626832298,8.986832298
1988,CCR,2.145339652,-3.046603476,-0.901263823
1988,CDV,5.420091324,5.627092846,11.04718417
1988,CHA,2.565820313,4.707617188,7.2734375
1988,CHO,5.651227679,6.639508929,12.29073661
1988,CHS,4.511839047,4.538204532,9.050043579
1988,CID,2.869066774,4.426186645,7.295253419
1988,CLE,6.292119472,7.054644249,13.34676372
1988,CLT,9.77099229,11.3228727,21.09386499
1988,CMH,4.918392616,7.274350893,12.19274351
1988,CMI,3.620989918,6.306141155,9.927131072
1988,COS,2.733558994,3.607640232,6.341199226
1988,CPR,1.544138929,2.561505065,4.105643994
1988,CRP,3.031980994,2.380665205,5.412646199
1988,CRW,5.703467954,7.013169447,12.7166374
1988,CSG,3.144400786,4.832023576,7.976424361
1988,CVG,4.904242051,7.061306468,11.96554852
1988,CWA,2.036902601,4.977616455,7.014519056
1988,DAB,4.899382031,5.155759785,10.05514182
1988,DAL,4.136117381,1.500507901,5.636625282
1988,DAY,8.056703522,9.629451724,17.68615525
1988,DCA,5.73907096,6.633958393,12.37302935
1988,DEN,8.825473921,5.370151617,14.19562554
1988,DET,11.15478615,13.12321792,24.27800407
1988,DFW,6.7450365,6.364327893,13.10936439
1988,DLH,4.831864905,7.882525698,12.7143906
1988,DRO,4.150214592,5.21602289,9.366237482
1988,DSM,4.824128125,5.940652597,10.76478072
1988,DTW,6.989169506,8.23298702,15.22215653
1988,EAU,-2.646258503,-1.16175359,-3.808012094
1988,ELM,3.138529738,4.017731806,7.156261544
1988,ELP,4.282118092,2.33952511,6.621643202
1988,ERI,6.319675822,10.12066637,16.44034219
1988,EUG,7.683983927,7.481056257,15.16504018
1988,EVV,4.903891051,6.89844358,11.80233463
1988,EWR,10.5178496,8.844624005,19.36247361
1988,EYW,2.419809178,0.421172194,2.840981372
1988,FAI,2.148648649,5.154560811,7.303209459
1988,FAR,2.342576343,2.46963847,4.812214812
1988,FAT,4.4356578,2.338425593,6.774083393
1988,FAY,1.81215733,3.399046484,5.211203814
1988,FCA,5.556179775,5.439606742,10.99578652
1988,FLG,3.797637795,4.368503937,8.166141732
1988,FLL,7.398210121,7.972365886,15.37057601
1988,FNT,5.251857355,6.994799406,12.24665676
1988,FSD,5.50062333,6.476936776,11.97756011
1988,FWA,3.490792468,4.38547486,7.876267329
1988,GCN,4.643372158,4.334442596,8.977814753
1988,GEG,5.429703159,7.021284719,12.45098788
1988,GFK,4.400763359,6.083969466,10.48473282
1988,GJT,4.097680642,4.672167707,8.76984835
1988,GNV,4.206181534,2.720266041,6.926447574
1988,GPT,4.391224863,8.745886654,13.13711152
1988,GRB,2.92005023,4.710339054,7.630389284
1988,GRR,5.14,7.040873786,12.18087379
1988,GSO,5.592211196,7.223413218,12.81562441
1988,GSP,4.055331779,5.025757897,9.081089676
1988,GST,8.764705882,9.129411765,17.89411765
1988,GTF,2.329110651,2.693898656,5.023009307
1988,GUC,4.753424658,9.787671233,14.54109589
1988,GUM,8.29655575,9.10566258,17.40221833
1988,HDN,14.62785388,17.53881279,32.16666667
1988,HLN,2.478464419,4.575842697,7.054307116
1988,HNL,6.578284613,8.362222936,14.94050755
1988,HOU,5.542449074,2.759818063,8.302267136
1988,HPN,7.789498141,8.211895911,16.00139405
1988,HRL,3.118946731,2.551755448,5.670702179
1988,HSV,2.464342566,2.142470551,4.606813117
1988,HTS,4.190726159,5.318460192,9.509186352
1988,IAD,5.267499205,5.172943843,10.44044305
1988,IAH,7.279291796,3.321280562,10.60057236
1988,ICT,3.825144509,5.511135668,9.336280177
