Year,Dest,DepDelay,ArrDelay,TotalDelay
1987,ISP,6.769230769,7.282894737,14.05212551
1987,ITH,5.168012924,5.298869144,10.46688207
1987,JAC,11.66517857,18.25446429,29.91964286
1987,JAN,8.297104324,9.031733439,17.32883776
1987,JAX,7.433597464,7.747226624,15.18082409
1987,JFK,8.211779242,9.1684514,17.38023064
1987,JNU,10.09052334,13.97171146,24.06223479
1987,KOA,12.08333333,13.32692308,25.41025641
1987,KTN,9.688888889,11.67272727,21.36161616
1987,LAN,5.730941704,7.792227205,13.52316891
1987,LAS,8.753052487,10.76082245,19.51387494
1987,LAX,11.29862977,15.25308974,26.55171951
1987,LBB,7.969967152,7.623181605,15.59314876
1987,LEX,5.519931419,7.925417917,13.44534934
1987,LFT,11.73239437,4.676056338,16.4084507
1987,LGA,7.277392362,7.644435703,14.92182806
1987,LGB,9.857352223,13.75622863,23.61358085
1987,LIH,10.43312102,12.31847134,22.75159236
1987,LIT,7.026899612,8.351636162,15.37853577
1987,LMT,16.98245614,15.42105263,32.40350877
1987,LNK,7.622336992,6.469335055,14.09167205
1987,LSE,4.355392157,7.933823529,12.28921569
1987,LYH,8.965197216,12.98143852,21.94663573
1987,MAF,6.437312794,4.003851091,10.44116389
1987,MBS,7.596491228,10.08906883,17.68556005
1987,MCI,8.142891183,8.691342335,16.83423352
1987,MCO,7.751530492,10.13138686,17.88291735
1987,MDT,6.770972037,7.27563249,14.04660453
1987,MDW,7.117447386,5.811495814,12.9289432
1987,MEM,4.847362227,8.580719439,13.42808167
1987,MFE,13.48387097,6.570719603,20.05459057
1987,MFR,17.17446271,16.55752212,33.73198483
1987,MGM,5.635722679,9.376028202,15.01175088
1987,MHT,7.123076923,8.738461538,15.86153846
1987,MIA,9.04874205,10.3558845,19.40462655
1987,MKE,9.294503891,10.71984436,20.01434825
1987,MLB,6.640267176,9.477099237,16.11736641
1987,MLI,5.478865084,7.515923567,12.99478865
1987,MLU,9.678343949,14.3089172,23.98726115
1987,MOB,5.631399317,6.590443686,12.221843
1987,MOT,9.471153846,7.632211538,17.10336538
1987,MRY,11.34490741,15.50925926,26.85416667
1987,MSN,6.693838863,9.61042654,16.3042654
1987,MSO,9.989705882,9.022058824,19.01176471
1987,MSP,6.449255927,10.52046202,16.96971794
1987,MSY,8.747127595,8.214069744,16.96119734
1987,MYR,8.305208333,8.761458333,17.06666667
1987,OAJ,7.86636971,10.07349666,17.93986637
1987,OAK,7.800655578,10.64270972,18.4433653
1987,OGG,9.024390244,8.67405765,17.69844789
1987,OKC,7.607704918,7.694754098,15.30245902
1987,OMA,8.020107552,7.889642273,15.90974982
1987,OME,8.151041667,11.71875,19.86979167
1987,ONT,9.269010317,9.974780283,19.2437906
1987,ORD,5.76953841,5.987562679,11.75710109
1987,ORF,7.538307604,7.568038879,15.10634648
1987,ORH,8.926573427,3.56993007,12.4965035
1987,OTZ,8.087628866,11.65463918,19.74226804
1987,PBI,9.695257661,10.91439822,20.60965588
1987,PDX,10.53075194,13.73099714,24.26174908
1987,PFN,5.013513514,4.385135135,9.398648649
1987,PHF,6.903846154,4.703846154,11.60769231
1987,PHL,8.453753218,10.45043573,18.90418895
1987,PHX,8.989641995,11.00630196,19.99594395
1987,PIA,3.2,4.810232558,8.010232558
1987,PIE,4.528089888,14.09550562,18.62359551
1987,PIH,23,59,82
1987,PIT,6.661849214,9.256494959,15.91834417
1987,PNS,5.478594951,5.979143798,11.45773875
1987,PSC,11.94077449,16.59681093,28.53758542
1987,PSG,10.01242236,14.26708075,24.27950311
1987,PSP,11.48821293,12.16653992,23.65475285
1987,PUB,6.749262537,9.578171091,16.32743363
1987,PVD,8.886206897,8.547586207,17.4337931
1987,PWM,9.449301761,8.386763813,17.83606557
1987,RAP,7.843428571,5.954285714,13.79771429
1987,RDD,21.26865672,24.00895522,45.27761194
1987,RDM,8.920245399,9.901840491,18.82208589
1987,RDU,4.120113389,5.24596216,9.366075549
1987,RIC,6.973088424,7.829773601,14.80286202
1987,RNO,11.67124509,13.22689975,24.89814484
1987,ROA,7.338167939,9.780152672,17.11832061
1987,ROC,7.710164835,8.541208791,16.25137363
1987,ROR,12.06741573,12.56179775,24.62921348
1987,RST,5.460500963,9.477842004,14.93834297
1987,RSW,8.430073607,11.0391693,19.4692429
1987,SAN,10.8092297,13.07376822,23.88299792
1987,SAT,9.042242897,7.580336937,16.62257983
1987,SAV,5.585416667,5.947569444,11.53298611
1987,SBA,10.46482636,10.00089047,20.46571683
1987,SBN,8.808777429,11.98589342,20.79467085
1987,SCC,4.448818898,4.637795276,9.086614173
1987,SCK,16.89588378,16.15738499,33.05326877
1987,SDF,6.407254058,8.323948327,14.73120238
1987,SEA,11.33162672,13.53851524,24.87014196
1987,SFO,16.31584965,21.1906884,37.50653806
1987,SGF,6.848370927,6.34085213,13.18922306
1987,SHV,6.667516573,10.09535951,16.76287608
1987,SIT,8.572438163,13.5229682,22.09540636
1987,SJC,8.887727071,10.02073549,18.90846256
1987,SJU,9.656759074,8.723349528,18.3801086
1987,SLC,8.622264568,9.790508975,18.41277354
1987,SMF,9.666165187,11.54355348,21.20971867
1987,SNA,8.627116273,11.38505667,20.01217294
1987,SPN,11.72786885,14.96065574,26.68852459
1987,SRQ,8.383605253,10.46199761,18.84560287
1987,STL,5.676739239,7.150337838,12.82707708
1987,STT,12.92904953,11.9330656,24.86211513
1987,STX,9.480895916,10.16996047,19.65085639
1987,SUX,5.467438495,7.20260492,12.67004342
1987,SYR,6.670455934,7.020168684,13.69062462
1987,TLH,3.80223518,6.546161322,10.3483965
1987,TOL,7.567597765,10.68603352,18.25363128
1987,TPA,7.57321869,8.893687929,16.46690662
1987,TRI,7.375641026,9.507692308,16.88333333
1987,TUL,7.483937008,6.96519685,14.44913386
1987,TUS,11.11273486,12.35073069,23.46346555
1987,TVL,12.76555024,14.16267943,26.92822967
1987,TYS,5.912250954,9.066553624,14.97880458
1987,UCA,10.44705882,16.80784314,27.25490196
1987,VPS,5.386503067,8.291411043,13.67791411
1987,WRG,9.310126582,13.31012658,22.62025316
1987,YAK,8.09352518,9.510791367,17.60431655
1987,YAP,7.596153846,8,15.59615385
1987,YKM,20.59375,23.6,44.19375
1987,YUM,3.002061856,5.773195876,8.775257732
1988,ABE,6.739330544,8.848953975,15.58828452
1988,ABQ,5.877753516,3.740029542,9.617783058
1988,ACV,32.22222222,31.66666667,63.88888889
1988,ACY,8.400462963,16.10648148,24.50694444
1988,AGS,4.173273657,6.123081841,10.2963555
1988,ALB,8.150848159,10.01406703,18.16491518
1988,ALO,4.440366972,6.844036697,11.28440367
1988,AMA,5.704238661,3.859071274,9.563309935
1988,ANC,6.449245029,9.442667065,15.89191209
1988,APF,2.798742138,4.964779874,7.763522013
1988,ATL,5.719496571,5.452544597,11.17204117
1988,ATW,3.795454545,4.891818182,8.687272727
1988,AUS,6.222316684,3.589231314,9.811547999
1988,AVL,8.966019417,10.59488085,19.56090026
1988,AVP,8.278627724,9.860917942,18.13954567
1988,AZO,5.833813893,7.727916121,13.56173001
1988,BDL,7.831573722,7.476716862,15.30829058
