Year,Carrier,DepDelay,ArrDelay,TotalDelay
1997,AA,7.306049339,4.859549912,12.16559925
1997,AS,8.188323355,9.512580558,17.70090391
1997,CO,7.798691317,7.994010296,15.79270161
1997,DL,8.704389201,9.520654155,18.22504336
1997,HP,7.755621805,9.284964407,17.04058621
1997,NW,9.300833697,8.69577522,17.99660892
1997,TW,7.243210324,5.684134818,12.92734514
1997,UA,9.893548409,8.713925482,18.60747389
1997,US,6.106993414,5.569485607,11.67647902
1997,WN,8.508722413,6.637451301,15.14617371
1998,AA,7.400665857,4.399390311,11.80005617
1998,AS,9.161249831,11.45313808,20.61438791
1998,CO,8.30124992,7.84554724,16.14679716
1998,DL,7.006283547,5.760098359,12.76638191
1998,HP,13.85223415,15.34850847,29.20074261
1998,NW,10.42481915,7.955575851,18.38039501
1998,TW,9.006760456,7.502605944,16.5093664
1998,UA,11.68490715,10.99790905,22.6828162
1998,US,7.336728229,6.187647228,13.52437546
1998,WN,9.511738752,7.304565001,16.81630375
1999,AA,9.777432391,8.918916508,18.6963489
1999,AS,10.76753215,11.00372252,21.77125467
1999,CO,9.076236088,8.480354163,17.55659025
1999,DL,8.01587323,6.678932548,14.69480578
1999,HP,11.96858272,13.20823448,25.17681719
1999,NW,6.635947133,4.389880452,11.02582758
1999,TW,8.156845404,6.008880765,14.16572617
1999,UA,9.86059923,9.882414899,19.74301413
1999,US,10.31946025,10.44160924,20.76106949
1999,WN,10.0300748,7.469842912,17.49991771
2000,AA,10.95162747,9.726826101,20.67845357
2000,AQ,1.589616128,2.541563104,4.131179232
2000,AS,12.81856341,12.82144618,25.64000959
2000,CO,8.480876702,6.849962457,15.33083916
2000,DL,9.382631424,8.279562676,17.6621941
2000,HP,14.42588429,14.93811795,29.36400223
2000,NW,7.67404733,5.949147881,13.62319521
2000,TW,9.554708996,9.143521902,18.6982309
2000,UA,17.53510645,18.47959195,36.0146984
2000,US,9.037513281,9.861894756,18.89940804
2000,WN,12.61300067,10.47749001,23.09049067
2001,AA,8.989538104,5.782605194,14.7721433
2001,AQ,4.199625296,4.888563891,9.088189187
2001,AS,10.87131232,11.7168791,22.58819142
2001,CO,5.514585905,3.323284627,8.837870532
2001,DL,7.46031411,4.984308254,12.44462236
2001,HP,9.840629611,8.324058042,18.16468765
2001,MQ,10.42930735,7.761099296,18.19040664
2001,NW,5.762728019,3.151802561,8.91453058
2001,TW,5.999949692,4.248494961,10.24844465
2001,UA,11.0069601,8.625530044,19.63249015
2001,US,5.819289238,3.513551632,9.33284087
2001,WN,8.708616454,4.855821934,13.56443839
2002,AA,4.438096495,1.182908446,5.621004941
2002,AS,7.233419938,5.404059029,12.63747897
2002,CO,2.51978975,2.297234289,4.81702404
2002,DL,5.541162361,5.712299164,11.25346152
2002,HP,6.255975161,2.478977337,8.734952498
2002,MQ,5.529813461,4.214754406,9.744567867
2002,NW,4.776595323,3.533631301,8.310226625
2002,UA,4.642417978,2.43308375,7.075501728
2002,US,3.637585606,1.469943744,5.10752935
2002,WN,8.88009128,3.890699404,12.77079068
2003,AA,4.638334775,3.207337994,7.845672769
2003,AS,5.681323841,3.17767541,8.858999251
2003,B6,5.652625427,0.986033687,6.638659114
2003,CO,3.893704372,3.782939738,7.67664411
2003,DH,9.407810435,6.533820221,15.94163066
2003,DL,4.533809274,3.855297716,8.38910699
2003,EV,8.892465137,6.659896536,15.55236167
2003,FL,6.883480258,8.366069866,15.24955012
2003,HA,1.033110883,-0.142967146,0.890143737
2003,HP,5.808064464,3.061532793,8.869597257
2003,MQ,5.012494517,4.239333626,9.251828143
2003,NW,2.166923299,1.96324811,4.130171409
2003,OO,5.43601993,2.287603717,7.723623647
2003,TZ,4.741858932,4.959598623,9.701457555
2003,UA,4.654332456,3.113908239,7.768240695
2003,US,4.142863492,4.223097968,8.365961461
2003,WN,6.653278873,2.063862986,8.717141859
2003,XE,4.113999464,5.22896748,9.342966945
2004,AA,8.992866347,8.143622663,17.13648901
2004,AS,8.877795179,6.640638723,15.5184339
2004,B6,6.219370183,1.628291282,7.847661465
2004,CO,5.952856676,6.872989069,12.82584575
2004,DH,11.4305928,7.49846794,18.92906074
2004,DL,7.632676951,8.211578988,15.84425594
2004,EV,10.16335603,5.809174285,15.97253031
2004,FL,9.956183926,7.802893196,17.75907712
2004,HA,-0.227685562,-2.07163587,-2.299321432
2004,HP,8.035208086,6.919398985,14.95460707
2004,MQ,8.441603851,9.241897528,17.68350138
2004,NW,4.157471391,5.714626955,9.872098346
2004,OH,8.723154227,4.7794431,13.50259733
2004,OO,6.548318929,3.800358163,10.34867709
2004,TZ,4.930178765,5.57117835,10.50135712
2004,UA,7.217805656,5.97595319,13.19375885
2004,US,6.800570353,4.478977923,11.27954828
2004,WN,10.11128337,6.27626722,16.38755059
2004,XE,5.282997152,7.877244023,13.16024117
2005,AA,9.46899562,8.311733877,17.7807295
2005,AS,13.4486331,12.22043968,25.66907278
2005,B6,10.30588686,10.80498027,21.11086713
